Timestamp,SpotPrice
Mon Aug 27 2018 03:34:17 GMT+0530 (IST),8.016300
Sun Aug 26 2018 22:41:47 GMT+0530 (IST),7.967900
Sun Aug 26 2018 15:17:58 GMT+0530 (IST),8.024300
Sun Aug 26 2018 07:46:25 GMT+0530 (IST),7.946400
Sun Aug 26 2018 02:46:05 GMT+0530 (IST),8.003900
Sat Aug 25 2018 20:55:09 GMT+0530 (IST),7.981700
Sat Aug 25 2018 15:20:08 GMT+0530 (IST),8.019900
Sat Aug 25 2018 10:02:53 GMT+0530 (IST),7.973600
Sat Aug 25 2018 02:31:56 GMT+0530 (IST),8.039900
Fri Aug 24 2018 19:25:18 GMT+0530 (IST),7.992800
Fri Aug 24 2018 13:51:07 GMT+0530 (IST),7.952300
Fri Aug 24 2018 06:28:11 GMT+0530 (IST),8.014000
Thu Aug 23 2018 22:53:16 GMT+0530 (IST),8.062400
Thu Aug 23 2018 15:46:12 GMT+0530 (IST),7.962800
Thu Aug 23 2018 08:48:31 GMT+0530 (IST),8.007900
Thu Aug 23 2018 04:04:08 GMT+0530 (IST),7.937800
Wed Aug 22 2018 22:29:47 GMT+0530 (IST),8.038500
Wed Aug 22 2018 15:32:35 GMT+0530 (IST),7.957600
Wed Aug 22 2018 09:24:43 GMT+0530 (IST),8.019000
Wed Aug 22 2018 02:26:35 GMT+0530 (IST),8.028900
Tue Aug 21 2018 21:34:13 GMT+0530 (IST),8.102900
Tue Aug 21 2018 20:42:47 GMT+0530 (IST),8.159000
Tue Aug 21 2018 16:00:06 GMT+0530 (IST),8.159000
Tue Aug 21 2018 09:18:31 GMT+0530 (IST),7.953200
Tue Aug 21 2018 04:17:45 GMT+0530 (IST),8.014700
Mon Aug 20 2018 23:00:07 GMT+0530 (IST),8.059900
Mon Aug 20 2018 15:29:00 GMT+0530 (IST),7.996400
Mon Aug 20 2018 10:11:21 GMT+0530 (IST),7.947300
Mon Aug 20 2018 02:39:20 GMT+0530 (IST),8.006200
Sun Aug 19 2018 19:24:32 GMT+0530 (IST),8.131200
Sun Aug 19 2018 14:07:08 GMT+0530 (IST),7.998800
Sun Aug 19 2018 09:23:04 GMT+0530 (IST),8.004200
Sun Aug 19 2018 04:14:14 GMT+0530 (IST),8.050500
Sat Aug 18 2018 21:49:13 GMT+0530 (IST),8.089900
Sat Aug 18 2018 15:49:20 GMT+0530 (IST),7.962300
Sat Aug 18 2018 09:42:20 GMT+0530 (IST),7.939800
Sat Aug 18 2018 04:33:01 GMT+0530 (IST),7.919600
Fri Aug 17 2018 22:00:10 GMT+0530 (IST),7.918400
Fri Aug 17 2018 16:25:26 GMT+0530 (IST),8.022300
Fri Aug 17 2018 10:42:50 GMT+0530 (IST),8.054800
Fri Aug 17 2018 03:19:03 GMT+0530 (IST),8.119300
Thu Aug 16 2018 22:32:03 GMT+0530 (IST),8.050900
Thu Aug 16 2018 14:59:59 GMT+0530 (IST),8.036700
Thu Aug 16 2018 09:50:42 GMT+0530 (IST),8.039800
Thu Aug 16 2018 03:59:59 GMT+0530 (IST),8.039700
Wed Aug 15 2018 22:26:06 GMT+0530 (IST),7.943100
Wed Aug 15 2018 15:53:03 GMT+0530 (IST),8.005900
Wed Aug 15 2018 11:00:30 GMT+0530 (IST),8.032800
Wed Aug 15 2018 05:08:59 GMT+0530 (IST),8.031400
Tue Aug 14 2018 22:52:45 GMT+0530 (IST),8.021800
